,,,,,,,,,,1338235.161
Material Issue Date,Issued To Code,Item Code,Item Desc.,Item Group,Item Category,Item Type,Issue Qty,Base UOM,Landed Rate,Landed Amount
26-10-2022,LIUGONG,SSMB000825,ESSAB NOZZLE,SMP,MCSP,Store Item,1,SET,"1,020.00","1,020.00"
26-10-2022,LIUGONG,CS5106024,INSULATER 24 KD,SMP,SP01,Store Item,1,NO,22,22
20-10-2022,LIUGONG,CO400171,SURF POWDER,SMP,HK,Consumables,1,NOS,59,59
20-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
20-10-2022,LIUGONG,SSM0000573,SANDER PAD,NA,MCSP,Store Item,1,NOS,425,425
14-10-2022,LIUGONG,CT20157,MEASURING TAPE -5MTR,SMP,TL01,Store Item,1,NO,85,85
14-10-2022,LIUGONG,95A5481,Plate OD32,OTH,SFG,Semi-finished Goods,4,NOS,30,120
15-10-2022,LIUGONG,CT20157,MEASURING TAPE -5MTR,SMP,TL01,Store Item,1,NO,85,85
15-10-2022,LIUGONG,CO40050,PU TUBE 12MM,SMP,MCSP,Maintenance Items,30,Mtr,100,"3,000.00"
15-10-2022,LIUGONG,CO40620,ORBITAL MC (BUFFING MACHINE),CO,OT01,Store Item,2,NOS,"11,250.00","22,500.00"
15-10-2022,LIUGONG,SSM0000573,SANDER PAD,NA,MCSP,Store Item,1,NOS,425,425
15-10-2022,LIUGONG,SSE0000440,"PU Connector_1/2""x12mm",NA,ESP,Store Item,5,NOS,89.76,448.8
15-10-2022,LIUGONG,CS5106054,SPRAY GUN FOR PAINTING,SMP,SP01,Store Item,1,NO,"2,250.00","2,250.00"
14-10-2022,LIUGONG,CS5106375,"BOSCH 7"" CARBON (GWS 22-180)",SMP,SP01,Store Item,1,NO,180,180
15-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,4,NO,599.5,"2,398.00"
15-10-2022,LIUGONG,CC30056,SKF GREASE MULTY PURPOSE,SMP,CE01,Purchase Items,4,Ltr,150,600
15-10-2022,LIUGONG,SSM0000573,SANDER PAD,NA,MCSP,Store Item,1,NOS,425,425
15-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
15-10-2022,LIUGONG,CT20078,"FLAP DISC WHEEL 4""",SMP,Punch,Consumables,10,NO,21,210
15-10-2022,LIUGONG,SSM0000508,ABRO TAPE 2',SMP,OT01,Store Item,2,NO,40,80
15-10-2022,LIUGONG,CO40017,"CELLO TAP 2""",SMP,Stationary C,Stationery,1,NO,25,25
15-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,8,NOS,34,272
16-10-2022,LIUGONG,04D4954,FUEL TANK WELD,NA,FG01,Finished Goods,4,NO,20.84,83.35
16-10-2022,LIUGONG,2808 FUEL TANK CAP,2808 FUEL TANK CAP MERCIDIES BENZ W/O KEYS,NA,LUG,Finished Goods,4,NO,132.85,531.38
31-10-2022,LIUGONG,OTH0000237,BUBBLE ROP,NA,OT01,Others,1,NO,950,950
31-10-2022,LIUGONG,CS50374,CUTTING WHEEL 4'',SMP,Punch,Consumables,10,NOS,13,130
31-10-2022,LIUGONG,CS5106411,Grinding Wheel 4 inch,SMP,SP01,Store Item,3,NOS,34,102
31-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
19-10-2022,LIUGONG,CC30090,ACM(Ar-80% & CO2-20%) ARGON,SMP,GAS,Consumables,3,NO,599.5,"1,798.50"
19-10-2022,LIUGONG,CC30003,OXYGEN O2 GAS CYLINDER,SMP,GAS,Consumables,2,NO,229.5,459
19-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,10,SET,7,70
19-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,42,42
19-10-2022,LIUGONG,CO40059,CO2 MIG WIRE 1.20,SMP,FCI,Consumables,75,Kg,97,"7,275.00"
17-10-2022,LIUGONG,SPCB000029,INMH 201218_GP Top Coat Paint Hardner,SMP,CE01,Store Item,4,Ltr,469,"1,876.00"
17-10-2022,LIUGONG,SPC0000047,PU POLISTER LIGHT WEIGHT PUTTY,NA,CE01,Store Item,4,Kg,295,"1,180.00"
17-10-2022,LIUGONG,CS50282,"SANDING PAPER 5"" 320 GRIT",SMP,SP01,Store Item,200,NO,20,"4,000.00"
17-10-2022,LIUGONG,CS50785,SANDING PAPER 80 GRIT 5'',SMP,SP01,Store Item,200,NOS,20,"4,000.00"
17-10-2022,LIUGONG,CO40021,COTTON WASTE,SMP,Welding item,Consumables,1,Kg,40,40
17-10-2022,LIUGONG,CO40025,HAND GLOVES COTTON,SMP,Welding item,Consumables,4,SET,7,28
17-10-2022,LIUGONG,CO400163,RUBBER HAND GLOVES 12 INCH,SMP,OT01,Store Item,4,SET,68,272
17-10-2022,LIUGONG,CS50950,PU CONECTOR 12X12STATE,SMP,SP01,Store Item,4,NOS,21.7,86.8
